               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.016579,           0.0039422,                   0,             0.99495,                   1,               0.995,             0.83595,            0.010588,            0.001043,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.016634,             0.00395,                   0,             0.99506,                   1,               0.995,             0.82436,             0.01018,          0.00092639,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.01634,           0.0039509,                   0,             0.99518,                   1,               0.995,             0.81327,            0.011391,          0.00096693,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.016666,           0.0037425,                   0,             0.99489,                   1,               0.995,             0.80667,            0.010019,          0.00097956,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.016392,           0.0038371,                   0,             0.99514,                   1,               0.995,             0.84508,           0.0091422,          0.00092339,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.016544,           0.0038096,                   0,             0.99505,                   1,               0.995,             0.83889,            0.009069,          0.00091005,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.015852,           0.0038829,                   0,             0.99521,                   1,               0.995,              0.8744,            0.009258,          0.00093985,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.016116,           0.0036831,                   0,             0.99496,                   1,               0.995,             0.85193,           0.0098274,          0.00090604,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.016586,            0.003867,                   0,             0.99501,                   1,               0.995,             0.81592,           0.0095582,          0.00088342,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.015905,           0.0040052,                   0,             0.99502,                   1,               0.995,             0.81585,            0.011189,          0.00098797,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.016076,           0.0038374,                   0,             0.99492,                   1,               0.995,             0.88642,           0.0089571,          0.00088797,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.015922,           0.0038209,                   0,             0.99489,                   1,               0.995,             0.84489,           0.0089706,          0.00089311,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.015457,           0.0038713,                   0,             0.99503,                   1,               0.995,             0.82535,           0.0099727,          0.00090099,                   0,             0.00703,             0.00703,             0.00703
