               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.014085,           0.0038944,                   0,             0.99528,                   1,               0.995,             0.81154,            0.011331,          0.00092752,                   0,            0.007327,            0.007327,            0.007327
                 110,             0.01388,           0.0037559,                   0,             0.99515,                   1,               0.995,             0.79675,            0.011503,          0.00098451,                   0,           0.0073023,           0.0073023,           0.0073023
                 111,            0.013565,           0.0037116,                   0,             0.99454,                   1,               0.995,             0.79011,            0.009939,          0.00092694,                   0,           0.0072775,           0.0072775,           0.0072775
                 112,            0.013716,            0.003645,                   0,             0.99529,                   1,               0.995,             0.85248,           0.0077156,          0.00082403,                   0,           0.0072527,           0.0072527,           0.0072527
                 113,            0.013816,           0.0038151,                   0,             0.99516,                   1,               0.995,             0.84411,            0.010041,          0.00087584,                   0,            0.007228,            0.007228,            0.007228
                 114,            0.013552,           0.0037453,                   0,             0.99522,                   1,               0.995,             0.80708,            0.010225,          0.00093641,                   0,           0.0072033,           0.0072033,           0.0072033
                 115,            0.013823,           0.0037914,                   0,             0.99502,                   1,               0.995,             0.81919,           0.0095725,          0.00095013,                   0,           0.0071785,           0.0071785,           0.0071785
                 116,             0.01349,           0.0037579,                   0,             0.99513,                   1,               0.995,             0.82206,           0.0096446,          0.00090179,                   0,           0.0071538,           0.0071538,           0.0071538
                 117,            0.013739,           0.0036739,                   0,             0.99513,                   1,               0.995,             0.84492,           0.0096062,          0.00088555,                   0,            0.007129,            0.007129,            0.007129
                 118,            0.013848,           0.0037135,                   0,             0.99511,                   1,               0.995,             0.80668,            0.010271,          0.00095119,                   0,           0.0071042,           0.0071042,           0.0071042
                 119,             0.01338,           0.0036252,                   0,             0.99522,                   1,               0.995,             0.79809,            0.010557,          0.00092304,                   0,           0.0070795,           0.0070795,           0.0070795
                 120,            0.013337,           0.0036716,                   0,             0.99528,                   1,               0.995,              0.8476,           0.0096459,          0.00084784,                   0,           0.0070547,           0.0070547,           0.0070547
                 121,            0.013274,           0.0036828,                   0,             0.99512,                   1,               0.995,             0.79555,            0.010665,          0.00087746,                   0,             0.00703,             0.00703,             0.00703
                 122,            0.013286,           0.0036561,                   0,             0.99522,                   1,               0.995,             0.80603,           0.0093093,          0.00088609,                   0,           0.0070053,           0.0070053,           0.0070053
                 123,            0.013299,           0.0036403,                   0,             0.99507,                   1,               0.995,             0.80176,           0.0097194,          0.00085573,                   0,           0.0069805,           0.0069805,           0.0069805
                 124,             0.01336,            0.003763,                   0,             0.99502,                   1,               0.995,             0.78933,            0.011069,          0.00093722,                   0,           0.0069558,           0.0069558,           0.0069558
                 125,             0.01317,              0.0037,                   0,             0.99519,                   1,               0.995,             0.86484,           0.0099786,          0.00088102,                   0,            0.006931,            0.006931,            0.006931
                 126,            0.013243,           0.0036527,                   0,             0.99502,                   1,               0.995,             0.84915,            0.009842,          0.00099093,                   0,           0.0069063,           0.0069063,           0.0069063
                 127,            0.013029,           0.0036325,                   0,             0.99514,                   1,               0.995,             0.82293,           0.0099505,           0.0009789,                   0,           0.0068815,           0.0068815,           0.0068815
                 128,             0.01284,           0.0035792,                   0,             0.99455,                   1,               0.995,             0.80185,             0.01068,          0.00093235,                   0,           0.0068568,           0.0068568,           0.0068568
                 129,            0.012896,           0.0035747,                   0,             0.99518,                   1,               0.995,             0.83486,           0.0096285,          0.00091818,                   0,            0.006832,            0.006832,            0.006832
                 130,            0.013432,           0.0037277,                   0,             0.99525,                   1,               0.995,             0.76409,            0.011827,          0.00090324,                   0,           0.0068073,           0.0068073,           0.0068073
                 131,            0.013026,           0.0036286,                   0,             0.99514,                   1,               0.995,             0.77882,            0.011487,          0.00092712,                   0,           0.0067825,           0.0067825,           0.0067825
                 132,             0.01314,           0.0036451,                   0,             0.99517,                   1,               0.995,             0.81548,            0.011385,           0.0010117,                   0,           0.0067577,           0.0067577,           0.0067577
                 133,            0.012897,           0.0036569,                   0,             0.99531,                   1,               0.995,             0.81577,            0.010911,          0.00096198,                   0,            0.006733,            0.006733,            0.006733
                 134,            0.013036,           0.0036349,                   0,             0.99505,                   1,               0.995,             0.85325,           0.0091825,          0.00086351,                   0,           0.0067082,           0.0067082,           0.0067082
                 135,            0.012952,           0.0036306,                   0,               0.995,                   1,               0.995,             0.80861,           0.0099306,          0.00093295,                   0,           0.0066835,           0.0066835,           0.0066835
                 136,            0.012856,           0.0036383,                   0,             0.99506,                   1,               0.995,              0.7987,            0.011859,          0.00099722,                   0,           0.0066587,           0.0066587,           0.0066587
                 137,            0.012927,            0.003553,                   0,             0.99498,                   1,               0.995,             0.80055,            0.010619,          0.00096907,                   0,            0.006634,            0.006634,            0.006634
                 138,            0.012836,           0.0036869,                   0,             0.99514,                   1,               0.995,             0.80657,            0.011768,           0.0010011,                   0,           0.0066092,           0.0066092,           0.0066092
                 139,            0.013274,           0.0037017,                   0,             0.99508,                   1,               0.995,             0.81445,            0.012054,          0.00096887,                   0,           0.0065845,           0.0065845,           0.0065845
                 140,            0.012865,           0.0035089,                   0,             0.99496,                   1,               0.995,             0.81437,           0.0093848,          0.00089674,                   0,           0.0065598,           0.0065598,           0.0065598
                 141,            0.012804,           0.0035443,                   0,             0.99488,                   1,               0.995,             0.80243,            0.010576,          0.00090349,                   0,            0.006535,            0.006535,            0.006535
                 142,            0.012577,           0.0035313,                   0,             0.99512,                   1,               0.995,             0.82767,           0.0091926,          0.00090042,                   0,           0.0065102,           0.0065102,           0.0065102
                 143,            0.013062,           0.0035753,                   0,             0.99475,                   1,               0.995,             0.83838,           0.0098706,          0.00087487,                   0,           0.0064855,           0.0064855,           0.0064855
                 144,            0.012479,           0.0034898,                   0,             0.99504,                   1,               0.995,             0.83526,           0.0092591,          0.00082259,                   0,           0.0064608,           0.0064608,           0.0064608
                 145,            0.012561,           0.0035528,                   0,             0.99526,                   1,               0.995,             0.84332,           0.0096308,          0.00083949,                   0,            0.006436,            0.006436,            0.006436
